읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,투표구명,선거인수,투표수,더불어민주당 이재명,국민의힘 김문수,개혁신당 이준석,민주노동당 권영국,무소속 송진호,계,무효 투표수,기권자수
합계,,428942,350292,160645,149529,33664,3662,304,347804,2488,78650
거소·선상투표,,625,590,231,209,98,7,4,549,41,35
관외사전투표,,45265,45256,26005,12025,6193,534,33,44790,466,9
재외투표,,3514,2817,1806,632,321,34,3,2796,21,697
강일동,소계,24880,20211,10177,8151,1552,199,15,20094,117,4669
,관내사전투표,6516,6516,4584,1439,403,62,3,6491,25,0
,강일동제1투,2428,1671,605,907,126,19,2,1659,12,757
,강일동제2투,2319,1745,704,873,129,20,3,1729,16,574
,강일동제3투,2215,1635,603,883,124,15,0,1625,10,580
,강일동제4투,2432,1786,669,938,136,26,0,1769,17,646
,강일동제5투,2169,1725,769,779,148,16,0,1712,13,444
,강일동제6투,4051,3055,1315,1370,325,28,3,3041,14,996
,강일동제7투,2750,2078,928,962,161,13,4,2068,10,672
상일제1동,소계,26996,22497,9550,10552,2008,247,18,22375,122,4499
,관내사전투표,6885,6885,4419,1781,577,73,2,6852,33,0
,상일제1동제1투,1687,1294,431,739,101,12,0,1283,11,393
,상일제1동제2투,1590,1108,384,616,87,10,6,1103,5,482
,상일제1동제3투,1981,1414,387,901,89,22,2,1401,13,567
,상일제1동제4투,2592,1920,554,1144,188,25,1,1912,8,672
,상일제1동제5투,2857,2273,722,1303,210,26,1,2262,11,584
,상일제1동제6투,3344,2727,976,1429,276,26,1,2708,19,617
,상일제1동제7투,3236,2595,846,1456,252,31,3,2588,7,641
,상일제1동제8투,2824,2281,831,1183,228,22,2,2266,15,543
상일제2동,소계,9367,7680,3941,2908,677,98,8,7632,48,1687
,관내사전투표,2742,2742,1946,546,203,29,4,2728,14,0
,상일제2동제1투,1650,1195,471,600,96,17,2,1186,9,455
,상일제2동제2투,1998,1540,653,711,150,18,2,1534,6,458
,상일제2동제3투,2977,2203,871,1051,228,34,0,2184,19,774
명일제1동,소계,20227,16688,6960,7975,1471,182,9,16597,91,3539
,관내사전투표,6760,6759,4084,1960,609,69,1,6723,36,1
,명일제1동제1투,2252,1580,439,984,131,15,1,1570,10,672
,명일제1동제2투,2964,2217,681,1330,171,23,3,2208,9,747
,명일제1동제3투,2338,1842,459,1194,150,23,1,1827,15,496
,명일제1동제4투,2871,2219,611,1335,237,25,1,2209,10,652
,명일제1동제5투,3042,2071,686,1172,173,27,2,2060,11,971
명일제2동,소계,12805,10675,4282,5365,855,110,11,10623,52,2130
,관내사전투표,3403,3403,2188,914,251,31,5,3389,14,0
