읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,투표구명,선거인수,투표수,더불어민주당 이재명,국민의힘 김문수,개혁신당 이준석,민주노동당 권영국,무소속 송진호,계,무효 투표수,기권자수
합계,,257971,198136,105780,72792,15575,2240,186,196573,1563,59835
거소·선상투표,,365,348,176,89,71,3,1,340,8,17
관외사전투표,,26920,26841,17186,5815,3135,395,21,26552,289,79
재외투표,,1740,1375,1016,233,92,23,0,1364,11,365
삼양동,소계,19246,14192,7445,5449,1040,148,16,14098,94,5054
,관내사전투표,5158,5158,3580,1201,315,33,5,5134,24,0
,삼양동제1투,2048,1338,536,657,116,12,2,1323,15,710
,삼양동제2투,1768,1084,446,544,72,11,4,1077,7,684
,삼양동제3투,1468,796,304,382,82,17,2,787,9,672
,삼양동제4투,2124,1346,611,597,110,20,1,1339,7,778
,삼양동제5투,2423,1674,750,749,134,22,0,1655,19,749
,삼양동제6투,1294,695,300,343,39,10,0,692,3,599
,삼양동제7투,1009,618,238,323,49,4,0,614,4,391
,삼양동제8투,1954,1483,680,653,123,19,2,1477,6,471
미아동,소계,18654,14070,7584,5058,1131,165,18,13956,114,4584
,관내사전투표,6337,6337,4421,1335,471,64,7,6298,39,0
,미아동제1투,2252,1402,575,672,120,22,1,1390,12,850
,미아동제2투,1130,752,313,344,70,12,4,743,9,378
,미아동제3투,3110,1961,801,947,154,36,3,1941,20,1149
,미아동제4투,2097,1333,502,685,122,8,1,1318,15,764
,미아동제5투,1810,1175,511,555,87,14,0,1167,8,635
,미아동제6투,1918,1110,461,520,107,9,2,1099,11,808
송중동,소계,20775,15190,7472,6236,1222,135,14,15079,111,5585
,관내사전투표,4750,4750,3266,1101,319,35,2,4723,27,0
,송중동제1투,1783,1053,410,530,98,3,1,1042,11,730
,송중동제2투,1920,1108,386,575,115,12,1,1089,19,812
,송중동제3투,2126,1476,559,761,134,11,3,1468,8,650
,송중동제4투,2150,1448,602,714,110,10,3,1439,9,702
,송중동제5투,2282,1710,702,800,174,25,0,1701,9,572
,송중동제6투,1687,1086,441,564,68,11,0,1084,2,601
,송중동제7투,2318,1548,659,734,119,16,4,1532,16,770
,송중동제8투,1759,1011,447,457,85,12,0,1001,10,748
송천동,소계,18493,13471,7043,5308,880,125,13,13369,102,5022
,관내사전투표,4923,4923,3413,1194,249,35,4,4895,28,0
,송천동제1투,1829,972,396,490,73,7,1,967,5,857
,송천동제2투,1366,833,341,429,48,8,1,827,6,533
,송천동제3투,1633,1072,424,528,93,10,1,1056,16,561
,송천동제4투,1014,781,342,353,65,14,0,774,7,233
,송천동제5투,1925,1211,513,590,86,13,1,1203,8,714
,송천동제6투,1788,1099,474,527,73,17,2,1093,6,689
,송천동제7투,2236,1443,686,609,114,18,1,1428,15,793
,송천동제8투,1779,1137,454,588,79,3,2,1126,11,642
삼각산동,소계,21519,17318,9141,6484,1376,201,11,17213,105,4201
,관내사전투표,5166,5166,3699,1044,348,48,1,5140,26,0
,삼각산동제1투,1891,1277,510,628,109,22,0,1269,8,614
,삼각산동제2투,1516,889,377,451,42,9,2,881,8,627
,삼각산동제3투,2473,1913,905,797,169,29,2,1902,11,560
