읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,투표구명,선거인수,투표수,더불어민주당 이재명,국민의힘 김문수,개혁신당 이준석,민주노동당 권영국,무소속 송진호,계,무효 투표수,기권자수
,관내사전투표,4775,4775,3152,1223,323,44,2,4744,31,0
,답십리제2동제1투,3050,2049,711,1060,236,23,3,2033,16,1001
,답십리제2동제2투,1789,1243,454,678,86,13,3,1234,9,546
,답십리제2동제3투,1660,1219,471,622,107,12,1,1213,6,441
,답십리제2동제4투,2269,1718,680,871,133,15,4,1703,15,551
,답십리제2동제5투,2303,1748,674,911,139,13,3,1740,8,555
,답십리제2동제6투,2624,1993,780,1021,163,17,3,1984,9,631
,답십리제2동제7투,2419,1537,657,743,116,9,3,1528,9,882
장안제1동,소계,30059,23303,11525,9454,1880,243,25,23127,176,6756
,관내사전투표,8029,8029,5482,1851,555,78,8,7974,55,0
,장안제1동제1투,2543,1540,589,761,154,22,1,1527,13,1003
,장안제1동제2투,2978,2023,812,1021,158,15,3,2009,14,955
,장안제1동제3투,2922,1727,660,861,165,18,1,1705,22,1195
,장안제1동제4투,3338,2293,886,1139,217,30,6,2278,15,1045
,장안제1동제5투,2187,1511,663,698,126,16,2,1505,6,676
,장안제1동제6투,2919,2009,823,971,177,17,2,1990,19,910
,장안제1동제7투,2412,1936,732,1024,150,18,0,1924,12,476
,장안제1동제8투,2731,2235,878,1128,178,29,2,2215,20,496
장안제2동,소계,25687,19893,9845,8069,1638,188,18,19758,135,5794
,관내사전투표,6728,6728,4530,1620,480,58,5,6693,35,0
,장안제2동제1투,1451,896,338,492,54,10,1,895,1,555
,장안제2동제2투,2543,1713,661,864,160,10,3,1698,15,830
,장안제2동제3투,1691,1110,454,538,94,14,0,1100,10,581
,장안제2동제4투,2072,1375,550,701,105,7,3,1366,9,697
,장안제2동제5투,4143,2790,1159,1271,295,35,3,2763,27,1353
,장안제2동제6투,1753,1211,476,623,88,12,0,1199,12,542
,장안제2동제7투,3102,2450,1032,1157,210,32,2,2433,17,652
,장안제2동제8투,2204,1620,645,803,152,10,1,1611,9,584
잘못 투입·구분된 투표지,,0,5,2,1,2,0,0,5,0,-5
