읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 신용한,국민의힘 김영환,계,무효 투표수,기권자수
합계,,26006,15236,8228,6712,14940,296,10770
거소투표,,40,40,19,20,39,1,0
증평읍,계,24548,14324,7838,6214,14052,272,10224
증평읍,관내사전투표,6362,6357,4272,1951,6223,134,5
증평읍,선거일투표,18186,7967,3566,4263,7829,138,10219
도안면,계,1418,872,371,478,849,23,546
도안면,관내사전투표,300,300,183,105,288,12,0
도안면,선거일투표,1118,572,188,373,561,11,546
