읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,투표구명,선거인수,투표수,더불어민주당 이재명,국민의힘 김문수,개혁신당 이준석,민주노동당 권영국,무소속 송진호,계,무효 투표수,기권자수
합계,,244536,196282,88028,84043,20217,2300,187,194775,1507,48254
거소·선상투표,,290,274,133,77,50,2,0,262,12,16
관외사전투표,,25811,25808,14377,7245,3583,332,29,25566,242,3
재외투표,,2457,1975,1236,493,202,33,0,1964,11,482
금호1가동,소계,10716,8235,3578,3861,644,86,4,8173,62,2481
,관내사전투표,2317,2317,1472,629,182,17,1,2301,16,0
,금호1가동제1투,1442,893,333,482,64,7,1,887,6,549
,금호1가동제2투,2418,1753,689,917,112,20,1,1739,14,665
,금호1가동제3투,2705,1991,685,1103,163,25,1,1977,14,714
,금호1가동제4투,1834,1281,399,730,123,17,0,1269,12,553
금호2·3가동,소계,15816,12153,5264,5676,1011,114,15,12080,73,3663
,관내사전투표,3730,3730,2395,1022,264,28,3,3712,18,0
,금호2·3가동제1투,2716,1841,576,1079,148,24,2,1829,12,875
,금호2·3가동제2투,2373,1586,581,832,142,17,2,1574,12,787
,금호2·3가동제3투,2633,1737,645,945,122,10,6,1728,9,896
,금호2·3가동제4투,2152,1703,550,940,177,21,2,1690,13,449
,금호2·3가동제5투,2212,1556,517,858,158,14,0,1547,9,656
금호4가동,소계,11355,8914,3812,4248,706,82,5,8853,61,2441
,관내사전투표,3328,3328,2129,917,225,25,4,3300,28,0
,금호4가동제1투,1594,982,252,634,82,5,0,973,9,612
,금호4가동제2투,2203,1592,481,938,141,24,0,1584,8,611
,금호4가동제3투,2069,1344,454,766,97,15,1,1333,11,725
,금호4가동제4투,2161,1668,496,993,161,13,0,1663,5,493
옥수동,소계,19235,15078,5291,8181,1335,173,7,14987,91,4157
,관내사전투표,3868,3868,2247,1234,316,49,0,3846,22,0
,옥수동제1투,2658,1980,560,1172,211,22,2,1967,13,678
,옥수동제2투,2367,1588,334,1107,120,15,2,1578,10,779
,옥수동제3투,2629,1929,607,1093,202,15,0,1917,12,700
,옥수동제4투,2589,1729,395,1173,128,22,0,1718,11,860
,옥수동제5투,2145,1676,465,1025,159,13,1,1663,13,469
,옥수동제6투,2979,2308,683,1377,199,37,2,2298,10,671
왕십리도선동,소계,19371,15068,6320,7018,1461,161,11,14971,97,4303
,관내사전투표,4177,4177,2654,1078,383,34,2,4151,26,0
,왕십리도선동제1투,2495,1676,612,803,226,22,2,1665,11,819
,왕십리도선동제2투,2462,1635,671,799,138,16,2,1626,9,827
,왕십리도선동제3투,2087,1614,586,890,116,9,1,1602,12,473
,왕십리도선동제4투,3109,2225,642,1323,216,29,2,2212,13,884
,왕십리도선동제5투,2641,1940,597,1101,194,33,1,1926,14,701
,왕십리도선동제6투,2400,1801,558,1024,188,18,1,1789,12,599
왕십리제2동,소계,13045,10422,5054,4083,1053,116,10,10316,106,2623
,관내사전투표,4013,4013,2678,867,386,34,5,3970,43,0
,왕십리제2동제1투,2359,1461,498,778,144,22,3,1445,16,898
,왕십리제2동제2투,2189,1475,542,730,165,20,0,1457,18,714
,왕십리제2동제3투,2099,1616,627,793,168,15,0,1603,13,483
,왕십리제2동제4투,2385,1857,709,915,190,25,2,1841,16,528
행당제1동,소계,11513,9225,3919,4105,1009,120,8,9161,64,2288
,관내사전투표,3491,3491,2052,946,429,39,0,3466,25,0
,행당제1동제1투,2118,1405,426,796,153,17,1,1393,12,713
,행당제1동제2투,2538,1902,638,1065,161,31,2,1897,5,636
,행당제1동제3투,1680,1075,385,536,118,22,2,1063,12,605
,행당제1동제4투,1686,1352,418,762,148,11,3,1342,10,334
행당제2동,소계,16911,13629,6068,6100,1176,180,18,13542,87,3282
,관내사전투표,4469,4469,2956,1102,331,53,5,4447,22,0
,행당제2동제1투,2711,1980,599,1144,194,26,2,1965,15,731
,행당제2동제2투,2290,1577,531,835,166,26,3,1561,16,713
,행당제2동제3투,2450,1754,670,922,132,18,2,1744,10,696
,행당제2동제4투,2496,1946,628,1088,188,29,1,1934,12,550
,행당제2동제5투,2495,1903,684,1009,165,28,5,1891,12,592
마장동,소계,16632,12967,5961,5433,1302,156,13,12865,102,3665
,관내사전투표,3724,3724,2505,854,304,31,2,3696,28,0
,마장동제1투,1877,1267,398,699,138,22,1,1258,9,610
,마장동제2투,2375,1817,633,915,225,19,3,1795,22,558
,마장동제3투,2530,1906,725,967,177,26,1,1896,10,624
,마장동제4투,1858,1279,504,632,125,9,1,1271,8,579
,마장동제5투,2035,1309,605,600,80,14,2,1301,8,726
,마장동제6투,2233,1665,591,766,253,35,3,1648,17,568
사근동,소계,9521,7119,2751,2749,1416,105,7,7028,91,2402
,관내사전투표,2469,2469,1344,509,544,35,4,2436,33,0
,사근동제1투,1478,992,306,466,193,14,1,980,12,486
,사근동제2투,1919,1247,416,599,198,17,0,1230,17,672
,사근동제3투,3655,2411,685,1175,481,39,2,2382,29,1244
송정동,소계,7511,5630,2721,2307,494,63,7,5592,38,1881
,관내사전투표,1956,1956,1300,483,139,21,1,1944,12,0
,송정동제1투,2027,1344,549,646,125,16,2,1338,6,683
,송정동제2투,1734,1147,423,603,97,12,1,1136,11,587
,송정동제3투,1794,1183,449,575,133,14,3,1174,9,611
용답동,소계,9972,7193,3510,2740,779,74,10,7113,80,2779
,관내사전투표,2809,2809,1893,598,259,26,2,2778,31,0
,용답동제1투,3355,1900,712,901,246,19,3,1881,19,1455
,용답동제2투,2023,1309,515,624,134,19,2,1294,15,714
,용답동제3투,1785,1175,390,617,140,10,3,1160,15,610
응봉동,소계,11610,9278,4252,4074,784,111,9,9230,48,2332
,관내사전투표,3668,3668,2337,964,300,37,3,3641,27,0
,응봉동제1투,2414,1548,539,842,135,23,3,1542,6,866
,응봉동제2투,2838,2036,670,1167,165,25,0,2027,9,802
,응봉동제3투,2690,2026,706,1101,184,26,3,2020,6,664
성수1가제1동,소계,11610,8718,3284,4406,852,112,9,8663,55,2892
,관내사전투표,2448,2448,1512,629,247,33,4,2425,23,0
,성수1가제1동제1투,1983,1184,396,652,105,21,2,1176,8,799
,성수1가제1동제2투,3368,2437,640,1544,223,21,1,2429,8,931
,성수1가제1동제3투,2167,1572,382,1013,150,16,1,1562,10,595
,성수1가제1동제4투,1644,1077,354,568,127,21,1,1071,6,567
성수1가제2동,소계,11295,9269,3940,4175,952,118,8,9193,76,2026
,관내사전투표,3516,3516,2043,1034,371,42,1,3491,25,0
,성수1가제2동제1투,1153,759,221,443,75,11,1,751,8,394
,성수1가제2동제2투,1400,1075,305,625,124,12,0,1066,9,325
,성수1가제2동제3투,2569,1875,674,979,183,20,1,1857,18,694
,성수1가제2동제4투,2657,2044,697,1094,199,33,5,2028,16,613
성수2가제1동,소계,11721,8830,3871,4055,753,79,7,8765,65,2891
,관내사전투표,3531,3531,2149,1019,300,29,4,3501,30,0
,성수2가제1동제1투,1876,1243,364,739,121,9,0,1233,10,633
,성수2가제1동제2투,2217,1514,507,877,116,8,0,1508,6,703
,성수2가제1동제3투,2085,1222,416,691,88,14,3,1212,10,863
,성수2가제1동제4투,2012,1320,435,729,128,19,0,1311,9,692
성수2가제3동,소계,8144,6497,2686,3017,655,83,10,6451,46,1647
,관내사전투표,2482,2482,1514,652,264,25,4,2459,23,0
,성수2가제3동제1투,2011,1357,442,731,155,17,3,1348,9,654
,성수2가제3동제2투,2512,1895,455,1243,157,28,3,1886,9,617
,성수2가제3동제3투,1139,763,275,391,79,13,0,758,5,376
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0,0
