수원시장안구	79644	109927
수원시권선구	97749	143420
수원시팔달구	54370	76581
수원시영통구	100679	144070
성남시수정구	79807	83092
성남시중원구	69248	75083
성남시분당구	131084	194549
의정부시	135128	169437
안양시만안구	74491	90893
안양시동안구	101982	125201
부천시	238614	287763
광명시	91466	108733
평택시	150106	213372
양주시	82149	97858
동두천시	26288	29158
안산시상록구	88413	121892
안산시단원구	78726	114613
고양시덕양구	148923	186488
고양시일산동구	85993	107379
고양시일산서구	82860	106352
과천시	25102	32672
의왕시	45754	63135
구리시	53716	71020
남양주시	193661	269884
오산시	59978	88195
화성시	261815	351137
시흥시	143681	189926
군포시	75964	103831
하남시	100856	111498
파주시	138979	190527
여주시	35889	39849
이천시	65362	74963
용인시처인구	78785	103289
용인시수지구	106079	142801
용인시기흥구	125319	169403
안성시	58694	66952
김포시	123073	179647
광주시	115914	142940
포천시	43823	50439
연천군	13448	14841
양평군	44858	42957
가평군	21100	21272
