수원시장안구	238889	77998
수원시권선구	313951	96083
수원시팔달구	172558	53333
수원시영통구	301242	98295
성남시수정구	208154	78542
성남시중원구	184068	68305
성남시분당구	397014	126169
의정부시	402095	133097
안양시만안구	208500	73269
안양시동안구	279415	99838
부천시원미구	341688	119967
부천시소사구	197016	70252
부천시오정구	136399	44479
광명시	244138	89971
평택시	506849	147356
양주시	245241	80712
동두천시	76927	25804
안산시상록구	287897	86874
안산시단원구	255796	77498
고양시덕양구	424683	145799
고양시일산동구	255448	83667
고양시일산서구	243541	80741
과천시	68790	24307
의왕시	133116	44755
구리시	162776	52683
남양주시	617951	189880
오산시	205448	59055
화성시갑	443085	141292
화성시을	347519	116182
시흥시	433899	141761
군포시	222936	74527
하남시	272865	98996
파주시	433087	136079
여주시	101401	35351
이천시	191335	64299
용인시처인구	241014	77393
용인시수지구	309712	102463
용인시기흥구	366811	121951
안성시	170398	57833
김포시	398834	120545
광주시	339630	114001
포천시	127307	43251
연천군	36974	13092
양평군	112680	43907
가평군	56266	20539
