창원시의창구	181085	51469
창원시성산구	208940	60335
창원시마산합포구	154518	48188
창원시마산회원구	156251	43742
창원시진해구	157266	46856
진주시	289796	95925
통영시	102203	35402
고성군	43287	15350
사천시	94356	33141
김해시	448630	134087
밀양시	90650	31041
거제시	192259	64499
의령군	23294	8891
함안군	51990	17360
창녕군	50638	18247
양산시	303506	83515
하동군	37540	16904
남해군	36504	15086
함양군	32702	13586
산청군	30968	12727
거창군	52316	20257
합천군	37329	13676
